Year,Population
1981,14923300
1982,15184200
1983,15393500
1984,15579400
1985,15788300
1986,16018400
1987,16263900
1988,16532200
1989,16814400
1990,17065100
1991,17284000
1992,17478600
1993,17634800
1994,17805500
1995,18004900
1996,18224800
1997,18423000
1998,18607600
1999,18812300
2000,19028800
2001,19274700
2002,19495200
2003,19720700
2004,19932700
2005,20176800
2006,20451000
2007,20827600
2008,21249200
2009,21691700
2010,22031800
2011,22340000
2012,22742500
2013,23145900
2014,23504100
2015,23850800
2016,24210800
